fecha,dia_semana,turno,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
2025-05-21,Miércoles,MATUTINA,4863,6881,2495,2564,7297,6075,3733,1823,5358,0710,2354,5291,7411,2687,5731,1429,7971,7893,9147,1060
2025-05-21,Miércoles,VESPERTINA,7633,3014,1425,3927,1652,6598,7590,6218,2894,3159,7087,6025,3881,1318,9570,7951,1532,6372,9503,7867
2025-05-21,Miércoles,NOCTURNA,1331,3609,8172,6671,6145,5827,1315,5750,5176,7045,7817,8062,5419,0489,7510,6322,9362,3794,1415,7975
2025-05-22,Jueves,LA PREVIA,3269,9619,2473,7343,0228,3684,2906,7570,8887,9636,5906,4967,8928,7734,2372,1284,3928,8920,5690,8724
2025-05-22,Jueves,LA PRIMERA,9528,5042,5332,6975,8165,3391,9511,0836,1157,8357,9990,3573,0371,5034,2367,5208,6014,3890,7295,2487
2025-05-22,Jueves,MATUTINA,9419,2206,7353,1047,2394,0052,9634,6104,7165,3963,4700,7852,7354,9128,8386,5595,5493,9025,1245,2177
2025-05-22,Jueves,VESPERTINA,5302,1634,1336,6034,0536,5945,9274,4632,1871,5157,7831,5531,0797,6235,6827,0868,2188,1167,6511,2975
2025-05-22,Jueves,NOCTURNA,0983,7985,2304,6710,8458,6786,3599,5099,9949,8862,1216,1444,7769,6158,4326,6923,5569,4349,4297,5460
2025-05-23,Viernes,LA PREVIA,8278,2746,4329,2768,5653,1555,9026,9346,2168,8753,5501,2817,8565,0871,9579,3630,7235,9137,1184,9325
2025-05-23,Viernes,LA PRIMERA,2276,1450,8144,6009,9631,4925,3897,5630,1358,3683,9077,9609,5593,4888,3590,7815,3817,5465,3483,6489
2025-05-23,Viernes,MATUTINA,5299,7345,3885,4666,3037,4898,1073,2422,4496,9478,5689,6668,6701,7506,9329,8778,9921,3972,7103,6843
2025-05-23,Viernes,VESPERTINA,4365,8134,6194,1559,3825,7663,7792,9010,8790,8820,2777,9237,4832,6189,9360,6859,2096,4098,6486,6502
2025-05-23,Viernes,NOCTURNA,3518,7168,6574,6945,8848,9011,8697,8413,4851,7705,6066,2783,5765,5691,5168,6476,8038,8101,6774,4690
2025-05-24,Sábado,LA PREVIA,9163,5784,9850,4476,7029,2140,1696,6503,3209,0254,0063,5449,9684,7025,7798,6582,5414,0108,1477,4183
2025-05-24,Sábado,LA PRIMERA,8733,8345,2674,7172,4577,0693,4324,1021,6344,7041,5539,3382,8758,8521,7157,3692,3322,6729,9460,9564
2025-05-24,Sábado,MATUTINA,4247,1801,7811,0328,8341,2109,7658,9448,0976,0217,3688,6615,9151,3744,3185,2970,7858,4947,8828,7909
2025-05-24,Sábado,VESPERTINA,7632,1397,3852,4419,9519,6163,0915,9766,8420,6605,7787,2694,2668,7304,2443,4124,4775,1864,8145,6632
2025-05-24,Sábado,NOCTURNA,1596,4936,4340,9607,5951,8127,5012,3216,4896,8153,5921,8466,5599,8111,1997,1725,9444,4065,4534,5015
2025-05-26,Lunes,LA PREVIA,8001,1490,7549,4181,2518,4477,0978,8510,7625,7286,5672,7014,3895,0298,9971,8561,7445,5672,7137,9643
